"symbol","beta"
"MMM",1.00315281004326
"AXP",1.07515502524362
"AAPL",0.827993936638737
"BA",1.31578721554189
"CAT",1.37268941892457
"CVX",0.751643899565671
"CSCO",0.99173069924656
"KO",0.318268605077758
"DWDP",1.22819238332658
"XOM",1.03182079389954
"GS",1.20996038870636
"HD",1.20554711095778
"IBM",1.59275499464293
"INTC",0.422127015051304
"JNJ",0.660312712144103
"JPM",1.12556183411572
"MCD",0.334378116899622
"MRK",0.344844389695415
"MSFT",1.0357402060658
"NKE",0.915119206271458
"PFE",0.461541809745157
"PG",0.203748156645318
"TRV",0.96402072765131
"UNH",0.866731587927954
"UTX",1.4080047762403
"VZ",0.371955946130963
"V",0.879329831828747
"WMT",0.607355386842386
"WBA",0.506469963324496
"DIS",0.675899534469176
"ADANIPORTS.NS",-0.0816648958343754
"ASIANPAINT.NS",0.342550839615222
"AXISBANK.NS",1.14740174891657
"BAJAJ-AUTO.NS",0.243357573424182
"BAJFINANCE.NS",0.016296864714732
"BAJAJFINSV.NS",0.00805395532030007
"BHARTIARTL.NS",0.685150077893591
"INFRATEL.NS",0.212758184323592
"BPCL.NS",0.364308231673985
"CIPLA.NS",0.286387222337439
"COALINDIA.NS",0.393906843663319
"DRREDDY.NS",0.0451620695501633
"EICHERMOT.NS",-0.147341521015097
"GAIL.NS",0.00059295218981973
"GRASIM.NS",0.569959276977771
"HCLTECH.NS",0.746575024007026
"HDFC.NS",0.322563932209613
"HDFCBANK.NS",0.451524298794329
"HEROMOTOCO.NS",-0.30772046073251
"HINDALCO.NS",0.307234827859024
"HINDUNILVR.NS",0.0759890304830265
"HINDPETRO.NS",0.184022039114619
"ICICIBANK.NS",0.303293265542824
"IBULHSGFIN.NS",-0.455221667827742
"INDUSINDBK.NS",0.4011268841939
"INFY.NS",0.778519990792784
"IOC.NS",0.57020483204463
"ITC.NS",0.398368051476693
"JSWSTEEL.NS",0.517308794783931
"KOTAKBANK.NS",0.187039221258214
"LT.NS",0.167279441756446
"M&M.NS",0.115783889412224
"MARUTI.NS",0.321477975373691
"NTPC.NS",-0.17558008574092
"ONGC.NS",0.424914828221514
"POWERGRID.NS",-0.364519404209893
"RELIANCE.NS",1.40117971678378
"SBIN.NS",0.250254768882476
"SUNPHARMA.NS",0.879066072612152
"TCS.NS",1.0849371819267
"TATAMOTORS.NS",1.03608055288099
"TATASTEEL.NS",0.458284219448559
"TECHM.NS",0.637521927620649
"TITAN.NS",0.19531438422565
"ULTRACEMCO.NS",0.58024129729731
"UPL.NS",0.395684726507875
"VEDL.NS",0.274885825751894
"WIPRO.NS",0.539060966801758
"YESBANK.NS",0.15358428705189
"ZEEL.NS",-0.171751274317653
